Partido,Fase,Duracion,Ganador,Primera Torre Ganador,Numero de Torres Derribadas Ganador,Numero total de Dragones Ganador,Dragones de Viento Ganador,Dragones de Ocenado Ganador,Dragones de Montaña Ganador,Dragones Infernales Ganador,Dragones Ancianos Ganador,Numero de Barones Nashor Ganador,Primera Sangre Ganador,Oro Ganador,Region Ganador,Lado del mapa Ganador,Asesinatos Ganador, Muertes Ganador, Asesinatos/Muertes Ganador,Perdedor,Primera Torre Perdedor,Numero de Torres Derribadas Perdedor,Numero total de Dragones Perdedor,Dragones de Viento Perdedor,Dragones de Ocenado Perdedor,Dragones de Montaña Perdedor,Dragones Infernales Perdedor,Dragones Ancianos Perdedor,Numero de Barones Nashor Perdedor,Primera Sangre Perdedor,Oro Perdedor,Region Perdedor,Lado del mapa Perdedor,Asesinatos Perdedor, Muertes Perdedor, Asesinatos/Muertes Perdedor
ISG vs DFM,playIn,3805,Isurus Gaming,1,11,4,1,0,0,1,2,2,1,112700,LAT,azul,21,16.0,1.3125,Detonation FocusMe,0,6,4,1,2,0,0,1,2,0,104000,JP,rojo,16,21.0,0.7619048
UOL vs MMM,playIn,2470,Mammoth eSports,0,7,2,0,1,0,0,1,1,1,74200,OCE,rojo,16,10.0,1.6,Unicorns Of Love,1,9,4,1,1,0,2,0,0,0,67800,CIS,azul,10,16.0,0.625
Splyce vs DFM,playIn,2020,Detonation FocusMe,1,9,2,0,0,1,1,0,1,1,63000,JP,rojo,18,8.0,2.25,Splyce,0,2,2,0,0,2,0,0,0,0,54400,EUW,azul,8,18.0,0.44444445
UOL vs CG,playIn,2333,Unicorns Of Love,0,0,1,0,0,0,1,0,0,0,70600,CIS,azul,14,4.0,3.5,Clutch Gaming,0,0,1,0,0,0,1,0,0,1,64199,NA,rojo,4,14.0,0.2857143
HKA vs LK,playIn,1801,Lowkey Esports.Vietnam,0,9,3,1,0,1,1,0,1,0,57400,VN,rojo,20,9.0,2.2222223,Hong Kong Attitude,1,3,0,0,0,0,0,0,0,1,50000,TW,azul,9,20.0,0.45
Royal Youth vs FLA,playIn,1457,Flamengo eSports,1,9,3,0,1,0,2,0,1,0,48800,BR,rojo,14,3.0,4.6666665,Royal Youth,0,2,0,0,0,0,0,0,0,1,37100,TR,azul,3,14.0,0.21428572
MEGA vs LK,playIn,2402,MEGA,0,8,3,1,2,0,0,0,1,0,75900,SEA,azul,21,19.0,1.1052631,Lowkey Esports.Vietnam,1,5,1,0,1,0,0,0,1,1,73800,VN,rojo,19,21.0,0.9047619
DWG vs FLA,playIn,1808,DAMWON Gaming,1,11,3,1,1,1,0,0,1,1,63800,KR,azul,22,11.0,2.0,Flamengo eSports,0,0,1,1,0,0,0,0,0,0,48200,BR,rojo,11,22.0,0.5
MEGA vs HKA,playIn,2055,Hong Kong Attitude,0,8,0,0,0,0,0,0,1,0,62300,TW,rojo,7,3.0,2.3333333,MEGA,1,4,4,1,0,2,1,0,0,1,56100,SEA,azul,3,7.0,0.42857143
Royal Youth vs DWG,playIn,2078,DAMWON Gaming,1,9,4,0,3,0,1,0,1,0,68600,KR,rojo,17,12.0,1.4166666,Royal Youth,0,2,1,0,0,0,1,0,0,1,56100,TR,azul,12,17.0,0.7058824
Splyce vs ISG,playIn,1809,Splyce,1,11,4,0,1,0,3,0,1,0,56900,EUW,azul,13,5.0,2.6,Isurus Gaming,0,0,0,0,0,0,0,0,0,1,45400,LAT,rojo,5,13.0,0.3846154
MMM vs CG,playIn,2341,Clutch Gaming,1,10,5,0,3,0,1,1,1,0,72000,NA,rojo,10,2.0,5.0,Mammoth eSports,0,1,1,0,0,0,1,0,1,1,60000,OCE,azul,2,10.0,0.2
DFM vs ISG,playIn,2369,Isurus Gaming,1,9,4,1,3,0,0,0,1,1,75000,LAT,rojo,16,12.0,1.3333334,Detonation FocusMe,0,3,1,0,0,1,0,0,0,0,64500,JP,azul,12,16.0,0.75
MMM vs UOL,playIn,2255,Mammoth eSports,1,9,4,0,2,1,1,0,1,0,69100,OCE,azul,18,8.0,2.25,Unicorns Of Love,0,2,0,0,0,0,0,0,0,1,60300,CIS,rojo,8,18.0,0.44444445
DFM vs Splyce,playIn,1592,Splyce,1,10,2,1,1,0,0,0,1,1,56700,EUW,rojo,22,7.0,3.142857,Detonation FocusMe,0,1,1,1,0,0,0,0,0,0,41200,JP,azul,7,22.0,0.3181818
CG vs UOL,playIn,2284,Unicorns Of Love,1,11,4,2,0,1,1,0,2,0,68600,CIS,rojo,16,8.0,2.0,Clutch Gaming,0,3,0,0,0,0,0,0,0,1,61900,NA,azul,8,16.0,0.5
